species,display_species,element_id,ratio_terminal_internal_all_positions,left_right_terminal_log2_imbalance,terminal_positive_coverage_fraction,internal_positive_coverage_fraction,domain_count,complete,sequence,species_q1,species_q3,species_iqr,species_iqr_upper,fraction_of_species_ratio_sum,upper_within_species_iqr_outlier,extreme_one_sided_terminal_pileup,dominates_species_ratio_sum,artifact_screen_keep,artifact_screen_rule_id,artifact_screen_reason
abditus,D. abditus,JASCRC010005969.1_De_498_6305,0.9799172723014948,1.5276799275827122,1,0.9981195938322678,6,no,JASCRC010005969.1_De,0.4389034481357871,0.7237510557669361,0.284847607631149,1.1510224672136595,0.020218599482176164,FALSE,FALSE,FALSE,TRUE,one_sided_terminal_pileup_v1,retained
abditus,D. abditus,JASCRC010007407.1_De_5_6294,0.4717175407795073,0.5465784149911088,1,1,5,no,JASCRC010007407.1_De,0.4389034481357871,0.7237510557669361,0.284847607631149,1.1510224672136595,0.009732931845703329,FALSE,FALSE,FALSE,TRUE,one_sided_terminal_pileup_v1,retained
abditus,D. abditus,JASCRC010007518.1_De_21_6268,0.6792539564185398,-1.419113328616402,1,1,6,no,JASCRC010007518.1_De,0.4389034481357871,0.7237510557669361,0.284847607631149,1.1510224672136595,0.014015023594037173,FALSE,FALSE,FALSE,TRUE,one_sided_terminal_pileup_v1,retained
abditus,D. abditus,JASCRC010013481.1_De_40_5976,0.5690475772035329,-0.4902585187693884,1,1,5,no,JASCRC010013481.1_De,0.4389034481357871,0.7237510557669361,0.284847607631149,1.1510224672136595,0.011741139150204772,FALSE,FALSE,FALSE,TRUE,one_sided_terminal_pileup_v1,retained
abditus,D. abditus,JASCRC010014362.1_De_11_5215,0.6105769996091334,-0.3554796495249058,1,1,5,no,JASCRC010014362.1_De,0.4389034481357871,0.7237510557669361,0.284847607631149,1.1510224672136595,0.0125980142988312,FALSE,FALSE,FALSE,TRUE,one_sided_terminal_pileup_v1,retained
abditus,D. abditus,JASCRC010016022.1_De_602_6192,0.9720373559847112,2.785389280718794,1,1,6,yes,JASCRC010016022.1_De,0.4389034481357871,0.7237510557669361,0.284847607631149,1.1510224672136595,0.020056013438980985,FALSE,FALSE,FALSE,TRUE,one_sided_terminal_pileup_v1,retained
abditus,D. abditus,JASCRC010019118.1_De_699_6157,0.34858298122197273,-0.2560180815255311,1,1,6,yes,JASCRC010019118.1_De,0.4389034481357871,0.7237510557669361,0.284847607631149,1.1510224672136595,0.007192300700116202,FALSE,FALSE,FALSE,TRUE,one_sided_terminal_pileup_v1,retained
abditus,D. abditus,JASCRC010021995.1_De_15_5470,0.5305358437219287,-0.20860957286293197,1,1,6,no,JASCRC010021995.1_De,0.4389034481357871,0.7237510557669361,0.284847607631149,1.1510224672136595,0.010946527873683363,FALSE,FALSE,FALSE,TRUE,one_sided_terminal_pileup_v1,retained
abditus,D. abditus,JASCRC010025200.1_De_127_5569,0.6242708174739929,1.1310027364155664,0.98348623853211,1,5,no,JASCRC010025200.1_De,0.4389034481357871,0.7237510557669361,0.284847607631149,1.1510224672136595,0.012880558373333725,FALSE,FALSE,FALSE,TRUE,one_sided_terminal_pileup_v1,retained
abditus,D. abditus,JASCRC010027857.1_De_300_5855,0.3886909206596813,-0.913428695487488,1,1,6,yes,JASCRC010027857.1_De,0.4389034481357871,0.7237510557669361,0.284847607631149,1.1510224672136595,0.00801984643940276,FALSE,FALSE,FALSE,TRUE,one_sided_terminal_pileup_v1,retained
